title,cast,director,overview,runtime,userRating
Ken Park,James Ransone|Tiffany Limos|Maeve Quinlan|Amanda Plummer|Wade Williams,Larry Clark|Edward Lachman,Ken Park focuses on several teenagers and their tormented home lives. Shawn seems to be the most conventional. Tate is brimming with psychotic rage; Claude is habitually harassed by his brutish father and coddled rather uncomfortably by his enormously pregnant mother. Peaches looks after her devoutly religious father but yearns for freedom. They're all rather tight or so they claim.,97,5.4
Upstream Color,Amy Seimetz|Shane Carruth|Andrew Sensenig|Thiago Martins|Carolyn King,Shane Carruth,A man and woman are drawn together entangled in the lifecycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.,96,6.5
The Last Supper,Cameron Diaz|Ron Eldard|Courtney B. Vance|Bill Paxton|Ron Perlman,Stacy Title,Stranded student Pete (Ron Eldard) gets a lift from racist trucker Zack and repays the favor by inviting him in for dinner with his roommates Jude (Cameron Diaz) Luke (Courtney B. Vance) Marc (Jonathan Penner) and Paulie (Annabeth Gish). When Zack praises Hitler and pulls a knife at the table the roommates kill him. Rationalizing their actions as a favor to humanity they bury Zack in the yard and begin to invite other offensive types to a string of similarly murderous meals.,92,6.6
Dark Tide,Halle Berry|Olivier Martinez|Ralph Brown|Mark Elderkin|Luke Tyler,John Stockwell,"A traumatized shark expert (Halle Berry) must battle her own fears to lead a thrill-seeking businessman on a dive into a dangerous section of water known as ""Shark Alley.""",113,4.9
Dog Pound,Adam Butcher|Shane Kippel|Mateo Morales|Taylor Poulin|Slim Twig,Kim Chapiron,Three juvenile delinquents arrive at a correctional center and are put under the care of an experienced guard.,91,7.7
Page One: Inside the New York Times,David Carr|Brian Stelter|Bruce Headlam|Richard Perez-Pena|Sarah Ellison,Andrew Rossi,Unprecedented access to the New York Times newsroom yields a complex view of the transformation of a media landscape fraught with both peril and opportunity.,88,7.2
Body Snatchers,Gabrielle Anwar|Terry Kinney|Billy Wirth|Christine Elise|Forest Whitaker,Abel Ferrara,When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials he brings his family along for the ride. After arriving at the base his teenage daughter Marti befriends Jean Platt daughter of the base's commander General Platt. When people at the base begin acting strangely Marti becomes convinced that they are slowly being replaced by plant-like aliens.,87,5.5
Break Ke Baad,Deepika Padukone|Imran Khan|Sharmila Tagore|Shahana Goswami,Danish Aslam,Abhay Gulati and Aaliya Khan have known each other since they were four years old. Their friendship turned into love at the tender age of 15 when Abhay realises Aaliya is the girl for him. Aaliya's life is defined by her burning desire to become an actress and she is unmindful of what or who comes in her way. Abhay who is still unsure about what he wants to do finds himself competing with Aaliya's incessant plans and projects to fulfill her dreams. While their relationship blooms because of their personality differences the baggage because of these differences also grows silently. Things come to a head when Aaliya decides to go to Australia to study and Abhay has to deal with the prospect of a long term relationship secretly fearing that he will lose Aaliya forever. He takes a leap of faith and they decide to take this time off from each other to figure out what they want to do.,120,6
Cold in July,Michael C. Hall|Don Johnson|Sam Shepard|Vinessa Shaw|Nick Damici,Jim Mickle,How can a split-second decision change your life? While investigating noises in his house one balmy Texas night in 1989 Richard Dane puts a bullet in the brain of low-life burglar Freddy Russell. Although heÌ¢‰âÂ‰ã¢s hailed as a small-town hero Dane soon finds himself fearing for his familyÌ¢‰âÂ‰ã¢s safety when FreddyÌ¢‰âÂ‰ã¢s ex-con father Ben rolls into town hell-bent on revenge.,109,6.3
Fido,Billy Connolly|Carrie-Anne Moss|Dylan Baker|Kesun Loder|Henry Czerny,Andrew Currie,"Timmy Robinson's best friend in the whole wide world is a six-foot tall rotting zombie named Fido. But when Fido eats the next-door neighbor Mom and Dad hit the roof and Timmy has to go to the ends of the earth to keep Fido a part of the family. A boy-and-his-dog movie for grown ups ""Fido"" will rip your heart out.",91,6.7
Primer,Shane Carruth|David Sullivan|Casey Gooden|Anand Upadhyaya|Carrie Crawford,Shane Carruth,Friends/fledgling entrepreneurs invent a device in their garage that reduces the apparent mass of any object placed inside it but they accidentally discover that it has some highly unexpected capabilities--ones that could enable them to do and to have seemingly anything they want.  Taking advantage of this unique opportunity is the first challenge they face.  Dealing with the consequences is the next.,79,6.9
Shadow Dancer,Andrea Riseborough|Clive Owen|Gillian Anderson|Aidan Gillen|Domhnall Gleeson,James Marsh,Set in 1990s Belfast a woman is forced to betray all she believes in for the sake of her son.,101,5.6
Killing Zoe,Eric Stoltz|Julie Delpy|Jean-Hugues Anglade|Tai Thai|Bruce Ramsay,Roger Avary,Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services Zed soon finds himself trapped in a situation beyond his control when heroin abuse poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.,96,5.8
The Believer,Ryan Gosling|Summer Phoenix|Theresa Russell|Billy Zane|Joshua Harto,Henry Bean,The movie tells the story of a young Jewish man who becomes fiercely anti-Semitic.,98,6.8
Snow Angels,Kate Beckinsale|Sam Rockwell|Michael Angarano|Olivia Thirlby|Amy Sedaris,David Gordon Green,Waitress Annie has separated from her suicidal alcoholic husband Glenn. Glenn has become an evangelical Christian but his erratic attempts at getting back into Annie's life have alarmed her. High school student Arthur works at Annie's restaurant growing closer to a new kid in town Lila after class. When Glenn and Annie's daughter go missing the whole town searches for her as he increasingly spirals out of control.,106,6.9
The Death and Life of Bobby Z,Paul Walker|Laurence Fishburne|Olivia Wilde|Jason Lewis|Michael Bowen,John Herzfeld,A DEA agent provides former Marine Tim Kearney with a way out of his prison sentence: impersonate Bobby Z a recently deceased drug dealer in a hostage switch with a crime lord. When the negotiations go awry Kearney flees with Z's son in tow.,97,5.6
Jude,Kate Winslet|Christopher Eccleston|Liam Cunningham|Rachel Griffiths|June Whitfield,Michael Winterbottom,In late 19th-century England Jude aspires to be an academic but is hobbled by his blue-collar background. Instead he works as a stonemason and is trapped in an unloving marriage to a farmer's daughter named Arabella. But when his wife leaves him Jude sees an opportunity to improve himself. He moves to the city and begins an affair with his married cousin Sue courting tragedy every step of the way.,123,6.7
Today's Special,Aasif Mandvi|Jess Weixler|Naseeruddin Shah|Aarti Mann|Dean Winters,David Kaplan,In this super-feel-good foodie comedy young Manhattan chef Samir rediscovers his heritage and his passion for life through the enchanting art of cooking Indian food.,99,6.3
A Girl Walks Home Alone at Night,Sheila Vand|Arash Marandi|Marshall Manesh|Dominic Rains|Rome Shadanloo,Ana Lily Amirpour,In the Iranian ghost-town Bad City a place that reeks of death and loneliness the townspeople are unaware they are being stalked by a lonesome vampire.,99,7
While She Was Out,Kim Basinger|Lukas Haas|Craig Sheffer|Luke Gair|Leonard Wu,Susan Montford,A suburban housewife is forced to fend for herself when she becomes stranded in a desolate forest with four murderous thugs.,108,4.7
The Armstrong Lie,Lance Armstrong|Betsy Andreu|Frankie Andreu|Reed Albergotti|Johan Bruyneel,Alex Gibney,In 2009 Alex Gibney was hired to make a film about Lance ArmstrongÌ¢‰âÂ‰ã¢s comeback to cycling. The project was shelved when the doping scandal erupted and re-opened after ArmstrongÌ¢‰âÂ‰ã¢s confession. The Armstrong Lie picks up in 2013 and presents a riveting insider's view of the unraveling of one of the most extraordinary stories in the history of sports. As Lance Armstrong says himself Ì¢‰âÂÒI didnÌ¢‰âÂ‰ã¢t live a lot of lies but I lived one big one.Ì¢‰âÂ,124,7.2
Hesher,Joseph Gordon-Levitt|Natalie Portman|Rainn Wilson|Audrey Wasilewski|Frank Collison,Spencer Susser,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,106,6.2
First Snow,Guy Pearce|Piper Perabo|Steven Michael Quezada|J.K. Simmons|Nicholas Ballas,Mark Fergus,A psychic's ominous reading sends a man into a tailspin.,101,6.6
The Informers,Billy Bob Thornton|Kim Basinger|Mickey Rourke|Winona Ryder|Jon Foster,Gregor Jordan,A multi-strand narrative set in early 1980s Los Angeles that deftly balances a vast array of characters who represent both the top of the heap and the bottom. Connecting the intertwining strands are a group of beautiful blonde young men and women who sleep all day and party all night doing drugs and one another with abandon never realising that they are dancing on the edge of a volcano.,98,4.3
The Quiet,Elisha Cuthbert|Camilla Belle|Edie Falco|Martin Donovan|Shawn Ashmore,Jamie Babbit,After her widowed father dies deaf teenager Dot moves in with her godparents Olivia and Paul Deer. The Deers' daughter Nina is openly hostile to Dot but that does not prevent her from telling her secrets to her silent stepsister including the fact that she wants to kill her lecherous father.,96,5.6
Smashed,Mary Elizabeth Winstead|Aaron Paul|Octavia Spencer|Nick Offerman|Megan Mullally,James Ponsoldt,Kate and Charlie like to have a good time. Their marriage thrives on a shared fondness for music laughterÌ¢‰âÂå_ and getting smashed. When KateÌ¢‰âÂ‰ã¢s partying spirals into hard-core asocial behavior compromising her job as an elementary schoolteacher somethingÌ¢‰âÂ‰ã¢s got to give. But change isnÌ¢‰âÂ‰ã¢t exactly a cakewalk. Sobriety means she will have to confront the lies sheÌ¢‰âÂ‰ã¢s been spinning at work her troubling relationship with her mother and the nature of her bond with Charlie.,85,6.1
